agency_id,route_id,shape_id,stop_sequence,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,arrival_offset,departure_offset,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
cr_transit,R03,S03,29,,E Ave & 42nd St,"grass, no sidewalk",42.02131924,-91.64076625,,,,,,,0:16:00,0:16:00,,,,
cr_transit,R03,S03,30,,F Ave across from 43rd St,"grass, no sidewalk",42.02244298,-91.64334526,,,,,,,,,,,,
cr_transit,R03,S03,31,,F Ave & Old Marion Rd,"grass, no sidewalk",42.02474676,-91.6432902,,,,,,,,,,,,
cr_transit,R03,S03,32,,F Ave across from Gateway St,"grass, no sidewalk",42.02691651,-91.64325239,,,,,,,,,,,,
cr_transit,R03,S03,33,,Rockwell Collins (light post #3 near the shelter),concrete pad,42.03078652,-91.64329177,,,,,,,,,,,,
cr_transit,R03,S03,34,,Rockwell Collins (1st Stop Sign),concrete pad,42.03103967,-91.64653124,,,,,,,,,,,,
cr_transit,R03,S03,35,,Rockwell Collins @ Rockwell Dr,"grass, no sidewalk",42.03103024,-91.64887084,,,,,,,,,,,,
cr_transit,R03,S03,36,,Park Place @ Mainstay Suites Driveway,concrete pad,42.03030676,-91.64950568,,,,,,,,,,,,
cr_transit,R03,S03,37,,Park Place @ Baymont Inns & Suites,concrete pad,42.03038003,-91.65341514,,,,,,,,,,,,
cr_transit,R03,S03,38,,Park Pl across from Duffy Dr  (Mercy Health Plaza),concrete pad,42.03041403,-91.65652715,,,,,,,,,,,,
cr_transit,R03,S03,39,,Council St across from Midland Ct  (Galaxy Theatres),grass to sidewalk,42.03179983,-91.6580786,,,,,,,,,,,,
cr_transit,R03,S03,40,,5520 Council St  (Goodwill),concrete pad,42.03430681,-91.6581926,,,,,,,,,,,,
cr_transit,R03,S03,41,,Council St & 60th St,concrete pad,42.03802848,-91.6581971,,,,,,,0:23:00,0:23:00,,,,
cr_transit,R03,S03,42,,1351 6th St (Johnson Controls),"grass, no sidewalk",42.03801203,-91.65609296,,,,,,,,,,,,
cr_transit,R03,S03,43,,Dry Creek Ln & Cimmie Ave,"grass, no sidewalk",42.03733001,-91.6554705,,,,,,,,,,,,
cr_transit,R03,S03,44,,Cimmie Ave @ Target driveway,grass to sidewalk,42.03690496,-91.65336658,,,,,,,,,,,,
cr_transit,R03,S03,45,,Cimmie Ave & Rockwell Dr (Sedlacek),"grass, no sidewalk",42.03839565,-91.64879393,,,,,,,,,,,,
cr_transit,R03,S03,46,,Rockwell Dr @ Target driveway,grass to sidewalk,42.03666281,-91.64908926,,,,,,,,,,,,
cr_transit,R03,S03,47,,Rockwell Dr & Blairs Ferry Rd,grass to sidewalk,42.03539273,-91.64939185,,,,,,,,,,,,
