stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
471,,34th St & Bel Air Dr,corner sidewalk,41.970236,-91.618242,,,,,,
472,,Bel Air Dr & 36th St,corner sidewalk,41.970272,-91.615986,,,,,,
473,,Bel Air Dr & 38th St,corner sidewalk,41.970466,-91.613009,,,,,,
474,,38th St & 14th Ave,grass to sidewalk,41.971922,-91.612805,,,,,,
475,,38th St & Pilicer Dr,"grass, no sidewalk",41.975062,-91.613013,,,,,,
476,,38th St across from Harold Dr,"grass, no sidewalk",41.976503,-91.614119,,,,,,
477,,Mt Vernon Rd across from 40th St (MercyCare),grass to sidewalk,41.976725,-91.611284,,,,,,
478,,Hy-Vee,concrete pad,41.975513,-91.609887,,,,,,
479,,42nd St & Mt Vernon Rd,corner sidewalk,41.976744,-91.608579,,,,,,
480,,East Post Rd & East Post Ct,grass to sidewalk,41.977633,-91.606173,,,,,,
481,,East Post Rd. &  Beaver Hollow (south intersection),grass to sidewalk,41.979064,-91.606609,,,,,,
482,,East Post Rd. & East Post Rd.,"grass, no sidewalk",41.980885,-91.606667,,,,,,
483,,Trailridge Rd across from Parkland Dr,concrete pad,41.985991,-91.604926,,,,,,
484,,Trailridge Rd & Andover Ln,grass to sidewalk,41.986287,-91.607639,,,,,,
485,,Trailridge Rd & Red Fox Rd,"grass, no sidewalk",41.986251,-91.609421,,,,,,
486,,Trailridge Rd & Indiandale Rd,"grass, no sidewalk",41.986243,-91.612053,,,,,,
487,,Indiandale Rd & Bever Ave,"grass, no sidewalk",41.983787,-91.614592,,,,,,
488,,34th St & Iowa Ave,"grass, no sidewalk",41.982103,-91.618619,,,,,,
489,,34th St & Soutter Ave,"grass, no sidewalk",41.980129,-91.618553,,,,,,
490,,Dalewood Ave & 36th St,corner sidewalk,41.978391,-91.616138,,,,,,
491,,Dalewood Ave & 38th St,corner sidewalk,41.978396,-91.614462,,,,,,
492,,38th St & Mt Vernon Rd,corner sidewalk,41.976984,-91.614475,,,,,,
493,,Mt Vernon Rd & 34th St,grass to sidewalk,41.976970,-91.618236,,,,,,
494,,Mt Vernon Rd & 32nd St,grass to sidewalk,41.976990,-91.621332,,,,,,
495,,Mt Vernon Rd & 30th St,concrete pad,41.976967,-91.623791,,,,,,
496,,Mt Vernon Rd & Memorial Dr,corner sidewalk,41.977038,-91.628057,,,,,,
497,,Memorial Dr across from Buchanon Dr,"grass, no sidewalk",41.979398,-91.628145,,,,,,
498,,Memorial Dr & Virginia Dr,"grass, no sidewalk",41.981461,-91.628184,,,,,,
499,,Memorial Dr & Bever Ave,corner sidewalk,41.984180,-91.628171,,,,,,
500,,Bever Ave & Woodland Dr,corner sidewalk,41.984347,-91.630269,,,,,,
501,,Bever Ave before Forest Dr.,grass to sidewalk,41.984381,-91.633156,,,,,,
502,,Forest Dr across from Washington Ave,"grass, no sidewalk",41.985318,-91.633880,,,,,,
503,,Forest Dr & Grande Ave,corner sidewalk,41.986713,-91.634051,,,,,,
504,,Forest Dr & Blake Blvd,grass to sidewalk,41.988446,-91.633264,,,,,,
505,,Forest Dr across from Dows Ln,"grass, no sidewalk",41.991920,-91.634035,,,,,,
506,,Cottage Grove Ave & Forest Dr (far-side) (Wash. H.S.),concrete pad,41.995303,-91.633774,,,,,,
507,,Cottage Grove Ave across from Foxburne,grass to sidewalk,41.995330,-91.635668,,,,,,
508,,Cottage Grove Ave & 1st Ave (before the turn lane),grass to sidewalk,41.995380,-91.638037,,,,,,
509,,1st Ave & 20th St NE (far-side),grass to sidewalk,41.994766,-91.641061,,,,,,
510,,19th St & 3rd Ave,corner sidewalk,41.991095,-91.642761,,,,,,
511,,19th St & Blake Blvd,corner sidewalk,41.988855,-91.642762,,,,,,
512,,19th St & Park Ave,corner sidewalk,41.986674,-91.642888,,,,,,
513,,19th St & Bever Ave,corner sidewalk,41.984619,-91.643003,,,,,,
514,,4th Ave & 18th St,corner sidewalk,41.983595,-91.644521,,,,,,
515,,4th Ave & 16th St,corner sidewalk,41.983702,-91.647623,,,,,,
516,,15th St & 5th Ave,corner sidewalk,41.982766,-91.650632,,,,,,
517,,15th St & 7th Ave,corner sidewalk,41.980727,-91.650610,,,,,,
518,,15th St & Mt Vernon Rd,corner sidewalk,41.977662,-91.650497,,,,,,
519,,10th St past McKinley School,concrete pad,41.979602,-91.655370,,,,,,
520,,4th Ave & 6th St,corner sidewalk,41.978694,-91.661754,,,,,,
521,,5th Ave & McKinley St (McKinley School),grass to sidewalk,41.980720,-91.655653,,,,,,
522,,5th Ave & 12th St,corner sidewalk,41.981551,-91.654176,,,,,,
523,,5th Ave & 14th St,corner sidewalk,41.982639,-91.652372,,,,,,
524,,15th St & 4th Ave,corner sidewalk,41.983596,-91.650328,,,,,,
525,,15th St & Bever Ave,corner sidewalk,41.984679,-91.650344,,,,,,
526,,15th St & 3rd Ave,corner sidewalk,41.986345,-91.650332,,,,,,
527,,15th St & 1st Ave,corner sidewalk,41.988091,-91.652014,,,,,,
528,,15th St & B Ave,corner sidewalk,41.989813,-91.653832,,,,,,
529,,B Ave & 16th St,corner sidewalk,41.990848,-91.652138,,,,,,
530,,B Ave & 17th St,corner sidewalk,41.991866,-91.650323,,,,,,
531,,17th St & D Ave,corner sidewalk,41.993649,-91.651775,,,,,,
532,,17th St & F Ave,grass to sidewalk,41.995461,-91.653524,,,,,,
533,,17th St & I Ave,corner sidewalk,41.997229,-91.654129,,,,,,
534,,17th St & J Ave,grass to sidewalk,41.999223,-91.654185,,,,,,
535,,Elmhurst Dr & K Ave,corner sidewalk,42.000231,-91.654270,,,,,,
536,,Elmhurst Dr & Hazel Dr (north intersection),"grass, no sidewalk",42.002720,-91.655099,,,,,,
537,,27th St & Elmhurst Dr (Mt Mercy),"concrete pad, no sidewalk",42.004552,-91.654085,,,,,,
538,,27th St & Prairie Dr,"grass, no sidewalk",42.004912,-91.652765,,,,,,
539,,Prairie Dr & 29th St,"grass, no sidewalk",42.006457,-91.652774,,,,,,
540,,Prairie Dr & 30th St,"grass, no sidewalk",42.008283,-91.652810,,,,,,
541,,Prairie Dr & 32nd St,"grass, no sidewalk",42.010033,-91.652294,,,,,,
542,,Prairie Dr & Center St,"grass, no sidewalk",42.011978,-91.652290,,,,,,
543,,Prairie Dr & 35th St,"grass, no sidewalk",42.013764,-91.652363,,,,,,
544,,35th St & Oakland Rd,"grass, no sidewalk",42.014134,-91.656229,,,,,,
545,,Oakland Rd & Hollywood Blvd crosswalk,crosswalk,42.015443,-91.655542,,,,,,
546,,Oakland Rd & Miami Ct,"grass, no sidewalk",42.017905,-91.654244,,,,,,
547,,Golf St & 42nd St,corner sidewalk,42.021085,-91.653066,,,,,,
548,,42nd St across from Richmond Rd (Noelridge Pool),corner sidewalk,42.021408,-91.655468,,,,,,
549,,42nd St & Council St,corner sidewalk,42.021474,-91.657987,,,,,,
550,,1622 42nd St (Alliance Church),concrete pad,42.021509,-91.663327,,,,,,
551,,42nd St & Center Point Rd,corner sidewalk,42.021620,-91.665258,,,,,,
552,,1946 42nd St (Clark's Pharmacy - RR tracks),grass to sidewalk,42.021697,-91.667411,,,,,,
553,,2058 42nd St,grass to sidewalk,42.021662,-91.670329,,,,,,
554,,42nd St & Northwood Dr,grass to sidewalk,42.021786,-91.674529,,,,,,
555,,42nd St across from Meadow Ln (Pierce School),concrete pad,42.021800,-91.676829,,,,,,
